-2.097656397381797433e-04,2.319738967344164848e-03,8.060567080974578857e-03,2.002394990995526314e-03,2.087524626404047012e-03,1.217147218994796276e-03,1.300195115618407726e-03
-3.993753052782267332e-04,2.583467634394764900e-03,1.015226170420646667e-02,2.967706182971596718e-03,2.678018063306808472e-03,1.907862606458365917e-03,1.908960286527872086e-03
9.482066961936652660e-04,3.612361615523695946e-03,1.068737637251615524e-02,3.895334899425506592e-03,3.828318789601325989e-03,3.567302366718649864e-03,3.549830289557576180e-03
8.517809328623116016e-04,3.128100186586380005e-03,1.013934239745140076e-02,3.633147804066538811e-03,3.537709591910243034e-03,3.552851965650916100e-03,3.564306301996111870e-03
1.496591698378324509e-02,1.572106778621673584e-02,1.998000778257846832e-02,1.215795148164033890e-02,1.499872002750635147e-02,1.836602203547954559e-02,1.792249269783496857e-02
1.528188865631818771e-02,1.602536626160144806e-02,2.128112502396106720e-02,1.339216902852058411e-02,1.685800217092037201e-02,1.958175562322139740e-02,1.895026862621307373e-02
1.065443828701972961e-02,1.253983657807111740e-02,1.697024516761302948e-02,1.031561475247144699e-02,1.254832278937101364e-02,1.720381714403629303e-02,1.826248504221439362e-02
1.073702354915440083e-03,3.946137148886919022e-03,1.222335826605558395e-02,5.909709259867668152e-03,7.708000019192695618e-03,4.247894976288080215e-03,3.840342862531542778e-03
7.115167099982500076e-04,3.701168810948729515e-03,1.202233415096998215e-02,5.851998459547758102e-03,7.684751879423856735e-03,4.206911195069551468e-03,4.086363594979047775e-03
3.320725634694099426e-03,7.209517527371644974e-03,2.018278464674949646e-02,8.985689841210842133e-03,2.044810354709625244e-02,1.026023831218481064e-02,9.737853892147541046e-03
8.421444799751043320e-04,4.481486510485410690e-03,1.471796166151762009e-02,6.472926586866378784e-03,1.244875043630599976e-02,5.501592997461557388e-03,4.996306728571653366e-03
7.210455834865570068e-03,9.418755769729614258e-03,1.473502442240715027e-02,1.023109629750251770e-02,1.186629850417375565e-02,9.685229510068893433e-03,9.001608937978744507e-03
1.158132334239780903e-03,4.192679654806852341e-03,8.763254620134830475e-03,4.903635475784540176e-03,4.630407784134149551e-03,2.702425001189112663e-03,2.883659675717353821e-03
-2.131237415596842766e-04,2.500811358913779259e-03,6.620999425649642944e-03,1.692818012088537216e-03,1.183207379654049873e-03,9.285600390285253525e-04,1.143425586633384228e-03
1.033162607200210914e-05,2.536378800868988037e-03,5.683666560798883438e-03,1.952718361280858517e-03,1.456690602935850620e-03,1.359245739877223969e-03,1.461972016841173172e-03
